INFO 2026-01-08 18:25:33,039 log 7164 13716 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-01-08 18:25:33,046 log 7164 13716 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-01-08 18:25:33,046 log 7164 12468 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-01-08 18:25:34,626 log 7164 12468 "GET /admin/ HTTP/1.1" 200 10446
INFO 2026-01-08 18:25:36,211 log 7164 12468 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
INFO 2026-01-08 18:25:36,226 log 7164 12468 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:25:36,243 log 7164 12468 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-01-08 18:25:41,554 log 7164 12468 "GET /admin/admin_core/unit/ HTTP/1.1" 200 20462
INFO 2026-01-08 18:25:41,568 log 7164 12468 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:25:46,582 log 7164 12468 "GET /admin/admin_core/user/ HTTP/1.1" 200 17584
INFO 2026-01-08 18:25:46,595 log 7164 13716 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-01-08 18:25:46,599 log 7164 12468 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:25:49,074 log 7164 12468 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
INFO 2026-01-08 18:25:49,088 log 7164 12468 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:25:54,252 log 7164 12468 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 11182
INFO 2026-01-08 18:25:55,862 log 7164 12468 "GET /admin/auth/group/ HTTP/1.1" 200 11110
INFO 2026-01-08 18:25:55,878 log 7164 12468 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:26:26,366 log 7164 12468 "GET /admin/admin_core/auditlog/ HTTP/1.1" 200 13467
INFO 2026-01-08 18:26:28,507 log 7164 6088 "GET /admin/admin_core/role/ HTTP/1.1" 200 16553
